epoch,train_loss,val_loss,teacher_forcing_ratio,lr
1,0.49239935278892516,0.390079140663147,1.0,0.0005
2,0.32012525796890257,0.3826994001865387,1.0,0.0005
3,0.28560684323310853,0.3554755449295044,1.0,0.0005
4,0.28314276188611986,0.35969457030296326,1.0,0.0005
5,0.2802002117037773,0.3570179045200348,1.0,0.0005
6,0.26004682332277296,0.36129412055015564,1.0,0.0005
7,0.2584253937005997,0.3660624623298645,1.0,0.00025
8,0.25427022725343706,0.35913679003715515,1.0,0.00025
9,0.25829765051603315,0.3608427047729492,1.0,0.00025
10,0.24693325757980347,0.36148759722709656,1.0,0.00025
11,0.24644848704338074,0.3603985607624054,1.0,0.000125
12,0.22983530759811402,0.3611891269683838,1.0,0.000125
13,0.23602980226278306,0.36340200901031494,1.0,0.000125
14,0.23215294778347015,0.36285772919654846,1.0,0.000125
15,0.23363504707813262,0.36377382278442383,1.0,6.25e-05
