step,v8_5,v9_1,v9_2,v9_5,aggregate_close
1,412.766,416.56064,416.76096,421.21805,417.21344
2,411.95377,413.06122,411.57632,418.56104,414.2197
3,412.0643,419.27536,420.09723,415.81927,416.80212
4,410.01102,416.02686,414.57135,411.25458,412.9477
5,411.64218,426.80023,429.21802,417.58615,421.13837
6,412.49966,423.5524,422.7949,416.49246,418.80978
7,412.31485,431.5406,433.8731,417.17703,423.38403
8,408.0636,433.83704,434.80902,414.40176,422.41205
9,410.8121,433.82593,433.93472,417.49646,423.78772
10,406.20184,431.41287,430.7217,417.19174,421.386
11,401.8058,432.82736,433.10098,416.10257,420.95554
12,406.3643,429.14233,428.2929,421.09216,421.52045
13,401.90976,433.78915,435.17456,417.49008,422.08633
14,407.127,429.92822,428.87036,419.1202,421.40707
15,404.01038,426.09576,424.87537,416.77914,418.15857
16,407.5131,428.28195,428.82443,415.41354,419.8899
17,402.87994,427.16016,427.12064,419.5853,419.5213
18,409.74292,428.2201,428.22147,420.8297,421.9109
19,402.65973,431.0827,432.03113,416.94604,420.71295
20,406.1561,430.0086,429.59772,419.99567,421.6346
21,415.2585,439.2601,441.4836,415.1388,427.02576
22,409.49176,433.45953,432.08557,421.81973,424.36334
23,410.91467,432.13354,431.50058,417.25482,422.78503
24,416.03372,435.01825,435.8735,426.46405,428.4112
25,418.4737,428.92307,427.3413,420.7748,423.80927
26,425.22726,430.79166,431.02097,419.44876,426.12054
27,416.01126,427.44742,426.3009,419.22186,422.18256
28,417.2214,429.17017,429.41992,417.7423,423.0859
29,416.32797,432.27258,433.1323,421.63788,425.6859
30,412.91202,436.22525,438.1322,418.4414,426.03534
31,417.65106,427.66898,426.38928,426.13638,424.7544
32,413.76828,430.6959,431.7855,420.00702,423.92468
33,406.328,433.91208,435.12427,420.76962,424.0856
34,408.35345,433.4538,433.8536,422.48196,424.67523
35,404.7673,424.4101,422.31436,416.56427,417.28293
36,409.71106,433.15845,435.81934,416.9048,423.56427
37,411.16586,427.6188,426.9059,417.3055,420.7033
38,408.4288,429.60062,430.47226,418.86502,421.84622
39,412.0094,438.51935,441.90317,416.8611,426.73376
40,411.59903,436.2757,436.96658,416.90668,425.05344
41,411.4534,431.50595,431.11328,417.30826,422.67047
42,407.93292,425.05667,423.86136,413.77078,417.5971
43,409.43854,427.07388,428.12524,417.23383,420.403
44,406.3915,423.42593,423.4608,420.2518,418.74066
45,401.25333,420.01425,419.60544,422.92667,416.74402
46,405.6491,417.42377,417.53357,413.64172,413.71176
47,409.15094,421.00815,422.43845,414.9123,416.82968
48,411.7709,425.69708,428.23254,413.14835,419.2969
49,410.9483,418.64175,418.1055,417.99548,416.65753
50,406.21426,420.3711,422.12686,415.89508,416.2578
