step,v8_5,v9_1,v9_5,aggregate_close
1,426.86078,434.5698,435.751,432.3034
2,426.16766,437.83987,432.94464,432.39453
3,426.3466,433.54855,430.13782,431.63834
4,424.2693,427.71747,425.43234,430.87576
5,425.99194,435.17087,431.97952,431.58557
6,426.91476,441.1804,430.84448,431.50458
7,426.75705,440.4002,431.5512,431.8347
8,422.39124,434.78214,428.69873,431.07782
9,425.26962,436.54285,431.86795,431.6379
10,420.53598,441.3173,431.55273,431.46426
11,416.01767,439.0654,430.43524,430.7092
12,420.7737,434.64856,435.6182,431.46472
13,416.20135,434.2444,431.86328,430.83966
14,421.63965,439.4593,433.604,431.59567
15,418.45306,444.37042,431.14896,431.30606
16,422.1171,443.3601,429.7625,430.71542
17,417.35895,443.65952,434.06586,431.472
18,424.50412,441.92273,435.34665,432.2321
19,417.20743,444.5346,431.33374,431.50717
20,420.8635,446.16815,434.48813,432.26352
21,430.33585,442.57245,429.44333,431.51456
22,424.4026,441.87552,436.3614,432.2724
23,425.9107,444.508,431.59604,432.08807
24,431.25558,442.2554,441.09714,432.8498
25,433.82513,440.82184,435.2293,433.61295
26,440.86462,440.0278,433.85565,434.08664
27,431.34924,435.74573,433.6232,433.33157
28,432.63388,441.82712,432.08594,432.64542
29,431.74475,444.99036,436.07816,433.40244
30,428.23544,442.33932,432.7686,432.75565
31,433.1842,439.0831,440.7393,433.51593
32,429.19345,434.75476,434.3555,433.18045
33,421.50702,437.70563,435.14603,433.29166
34,423.63675,430.931,436.88007,433.93756
35,419.95016,425.6192,430.77063,433.17807
36,425.10916,425.92404,431.13446,432.4151
37,426.6532,434.69623,431.49814,431.65173
38,423.84482,438.51016,433.10928,432.3496
39,427.58994,440.30643,431.06003,431.61136
40,427.19812,435.39087,431.12488,431.27615
41,427.0763,444.41086,431.5348,432.03085
42,423.45175,445.96274,427.92593,431.2758
43,425.04205,446.41275,431.4681,432.02768
44,421.90915,446.95142,434.55118,432.7835
45,416.6021,442.83093,437.28418,433.5419
46,421.19077,444.9004,427.6814,432.78714
47,424.8576,440.51346,428.96252,432.0284
48,427.6058,441.73157,427.09467,431.26636
49,426.78055,434.2605,432.09378,431.7104
50,421.88995,440.94266,429.9168,430.95532
